scenario,operation,second,latency_ms,ok
none,product page,8.270,2.083,true
none,product page,8.280,0.059,true
none,product page,8.290,0.782,true
none,product page,8.300,1.101,true
none,product page,8.310,1.307,true
none,product page,8.320,0.617,true
none,order history,8.330,0.953,true
none,checkout,8.340,15.905,true
none,product page,8.350,3.133,true
none,order history,8.360,1.191,true
none,product page,8.370,1.929,true
none,order history,8.380,0.376,true
none,product page,8.390,1.070,true
none,product page,8.400,1.308,true
none,product page,8.410,1.436,true
none,order history,8.420,0.748,true
none,order history,8.430,0.591,true
none,order history,8.440,0.749,true
none,product page,8.450,1.769,true
none,product page,8.460,2.087,true
none,product page,8.470,1.534,true
none,order history,8.480,-0.222,true
none,order history,8.490,0.430,true
none,product page,8.500,1.008,true
none,order history,8.510,0.885,true
none,product page,8.520,1.485,true
none,product page,8.530,1.421,true
none,product page,8.540,3.062,true
none,order history,8.550,0.990,true
none,order history,8.560,1.072,true
none,product page,8.570,1.311,true
none,order history,8.580,0.101,true
none,product page,8.590,0.344,true
none,product page,8.600,0.868,true
none,product page,8.610,1.140,true
none,product page,8.620,1.143,true
none,product page,8.630,1.535,true
none,product page,8.640,1.116,true
none,product page,8.650,1.131,true
none,product page,8.660,1.935,true
none,product page,8.670,1.572,true
none,product page,8.680,5.975,true
none,product page,8.690,0.445,true
none,product page,8.700,0.153,true
none,product page,8.710,0.944,true
none,order history,8.720,0.408,true
none,product page,8.730,1.682,true
none,product page,8.740,1.464,true
none,order history,8.750,1.345,true
none,product page,8.760,1.766,true
none,product page,8.770,2.918,true
none,order history,8.780,0.429,true
none,product page,8.790,0.679,true
none,product page,8.800,0.867,true
none,product page,8.810,0.924,true
none,checkout,8.820,14.138,true
none,product page,8.830,1.178,true
none,order history,8.840,1.067,true
none,product page,8.850,2.040,true
none,order history,8.860,1.601,true
none,product page,8.870,1.172,true
none,order history,8.880,0.842,true
none,product page,8.890,0.673,true
none,product page,8.900,1.181,true
none,order history,8.910,0.670,true
none,product page,8.920,1.119,true
none,product page,8.930,1.049,true
none,product page,8.940,1.926,true
none,product page,8.950,2.141,true
none,product page,8.960,0.914,true
none,product page,8.970,0.389,true
none,product page,8.980,1.487,true
none,product page,8.990,1.326,true
none,product page,9.000,0.894,true
none,order history,9.010,1.234,true
none,product page,9.020,1.471,true
none,product page,9.030,1.156,true
none,product page,9.040,1.134,true
none,checkout,9.050,13.721,true
none,product page,9.060,0.510,true
none,order history,9.070,1.270,true
none,checkout,9.080,14.463,true
none,product page,9.090,1.103,true
none,product page,9.100,0.798,true
none,product page,9.110,0.363,true
none,product page,9.120,1.151,true
none,product page,9.130,2.455,true
none,order history,9.140,0.870,true
none,product page,9.150,0.496,true
none,checkout,9.160,15.021,true
none,product page,9.170,0.639,true
none,checkout,9.180,13.453,true
none,checkout,9.190,15.550,true
none,product page,9.200,1.340,true
none,product page,9.210,1.442,true
none,order history,9.220,1.123,true
none,checkout,9.230,13.996,true
none,order history,9.240,-0.125,true
none,product page,9.250,0.299,true
none,product page,9.260,0.923,true
none,product page,9.270,0.969,true
none,product page,9.280,2.401,true
none,checkout,9.290,15.336,true
none,product page,9.300,1.341,true
none,product page,9.310,1.869,true
none,order history,9.320,0.834,true
none,order history,9.330,-0.197,true
none,product page,9.340,0.719,true
none,product page,9.350,1.183,true
none,product page,9.360,1.465,true
none,order history,9.370,1.258,true
none,product page,9.380,1.544,true
none,checkout,9.390,14.214,true
none,product page,9.400,2.111,true
none,product page,9.410,0.565,true
none,product page,9.420,1.086,true
none,product page,9.430,0.717,true
none,product page,9.440,1.169,true
none,order history,9.450,0.713,true
none,product page,9.460,1.174,true
none,product page,9.470,0.887,true
none,product page,9.480,1.258,true
none,product page,9.490,1.750,true
none,product page,9.500,1.302,true
none,order history,9.510,0.438,true
none,product page,9.520,1.369,true
none,product page,9.530,1.222,true
none,order history,9.540,0.699,true
none,product page,9.550,1.320,true
none,checkout,9.560,13.393,true
none,product page,9.570,3.226,true
none,product page,9.580,1.288,true
none,product page,9.590,1.149,true
none,order history,9.600,-0.044,true
none,product page,9.610,0.759,true
none,product page,9.620,1.151,true
none,product page,9.630,1.162,true
none,product page,9.640,1.069,true
none,product page,9.650,1.697,true
none,product page,9.660,1.522,true
none,product page,9.670,1.180,true
none,order history,9.680,0.223,true
none,checkout,9.690,13.857,true
none,product page,9.700,1.256,true
none,product page,9.710,0.667,true
none,product page,9.720,0.992,true
none,product page,9.730,2.866,true
none,product page,9.740,3.115,true
none,product page,9.750,1.422,true
none,product page,9.760,2.113,true
none,product page,9.770,2.189,true
none,product page,9.780,3.007,true
none,product page,9.790,1.756,true
none,order history,9.800,3.275,true
none,order history,9.810,2.050,true
none,product page,9.820,2.895,true
none,order history,9.830,2.481,true
none,product page,9.840,1.344,true
none,order history,9.850,1.642,true
none,product page,9.860,3.005,true
none,order history,9.870,1.573,true
none,order history,9.880,1.537,true
none,order history,9.890,1.302,true
none,product page,9.900,1.844,true
none,product page,9.910,0.599,true
none,order history,9.920,1.298,true
none,product page,9.930,1.268,true
none,product page,9.940,1.862,true
none,checkout,9.950,15.286,true
none,product page,9.960,0.754,true
none,product page,9.970,0.841,true
none,product page,9.980,1.443,true
none,order history,9.990,1.060,true
none,product page,10.000,0.925,true
none,checkout,10.010,14.077,true
none,product page,10.020,1.094,true
none,product page,10.030,1.252,true
none,product page,10.040,1.523,true
none,product page,10.050,0.624,true
none,product page,10.060,1.137,true
none,order history,10.070,0.666,true
none,product page,10.080,1.241,true
none,product page,10.090,2.009,true
none,checkout,10.100,16.757,true
none,product page,10.110,1.827,true
none,product page,10.120,1.859,true
none,order history,10.130,0.611,true
none,product page,10.140,1.659,true
none,product page,10.150,2.976,true
none,product page,10.160,1.617,true
none,product page,10.170,1.473,true
none,product page,10.180,1.521,true
none,product page,10.190,1.498,true
none,product page,10.200,0.147,true
none,product page,10.210,0.992,true
none,product page,10.220,1.148,true
none,product page,10.230,3.183,true
none,checkout,10.240,18.591,true
none,order history,10.250,1.938,true
