scenario,operation,second,latency_ms,ok
none,product page,7.850,0.728,true
none,checkout,7.860,9.175,true
none,product page,7.870,0.327,true
none,order history,7.880,0.349,true
none,checkout,7.890,9.658,true
none,product page,7.900,1.717,true
none,order history,7.910,-0.304,true
none,product page,7.920,0.425,true
none,product page,7.930,0.705,true
none,product page,7.940,0.679,true
none,product page,7.950,0.786,true
none,order history,7.960,-0.734,true
none,product page,7.970,1.046,true
none,checkout,7.980,9.278,true
none,checkout,7.990,8.593,true
none,order history,8.000,-0.200,true
none,product page,8.010,0.301,true
none,order history,8.020,-0.052,true
none,order history,8.030,0.100,true
none,order history,8.040,0.141,true
none,product page,8.050,0.919,true
none,order history,8.060,0.262,true
none,order history,8.070,1.579,true
none,product page,8.080,0.629,true
none,order history,8.090,-0.036,true
none,order history,8.100,-0.170,true
none,product page,8.110,0.415,true
none,product page,8.120,0.524,true
none,order history,8.130,0.181,true
none,order history,8.140,0.330,true
none,product page,8.150,1.781,true
none,order history,8.160,0.653,true
none,order history,8.170,-0.128,true
none,product page,8.180,0.418,true
none,product page,8.190,0.437,true
none,product page,8.200,0.494,true
none,product page,8.210,0.569,true
none,order history,8.220,0.149,true
none,order history,8.230,0.248,true
none,product page,8.240,0.818,true
none,product page,8.250,1.114,true
none,order history,8.260,0.453,true
none,product page,8.270,0.333,true
none,product page,8.280,1.573,true
none,product page,8.290,0.562,true
none,product page,8.300,0.803,true
none,order history,8.310,0.238,true
none,product page,8.320,0.802,true
none,product page,8.330,0.867,true
none,product page,8.340,0.531,true
none,product page,8.350,1.366,true
none,product page,8.360,0.154,true
none,product page,8.370,0.423,true
none,product page,8.380,0.572,true
none,product page,8.390,0.689,true
none,product page,8.400,0.903,true
none,product page,8.410,0.956,true
none,product page,8.420,1.985,true
none,product page,8.430,1.030,true
none,order history,8.440,-0.234,true
none,order history,8.450,-0.133,true
none,product page,8.460,0.437,true
none,product page,8.470,0.498,true
none,product page,8.480,0.561,true
none,product page,8.490,0.743,true
none,checkout,8.500,9.100,true
none,product page,8.510,1.175,true
none,order history,8.520,0.390,true
none,checkout,8.530,9.758,true
none,product page,8.540,1.195,true
none,product page,8.550,0.338,true
none,checkout,8.560,8.572,true
none,product page,8.570,1.276,true
none,product page,8.580,0.545,true
none,product page,8.590,0.577,true
none,product page,8.600,0.993,true
none,checkout,8.610,9.082,true
none,product page,8.620,0.692,true
none,product page,8.630,1.240,true
none,product page,8.640,0.953,true
none,product page,8.650,-0.103,true
none,product page,8.660,0.417,true
none,order history,8.670,0.861,true
none,product page,8.680,-0.533,true
none,checkout,8.690,8.530,true
none,checkout,8.700,14.755,true
none,product page,8.710,0.487,true
none,order history,8.720,0.224,true
none,product page,8.730,1.449,true
none,product page,8.740,1.331,true
none,product page,8.750,-0.124,true
none,order history,8.760,-0.144,true
none,product page,8.770,0.454,true
none,order history,8.780,-0.116,true
none,product page,8.790,1.778,true
none,product page,8.800,0.775,true
none,product page,8.810,0.369,true
none,order history,8.820,1.476,true
none,product page,8.830,1.130,true
none,order history,8.840,-0.610,true
none,order history,8.850,0.601,true
none,product page,8.860,0.509,true
none,product page,8.870,0.565,true
none,order history,8.880,-0.138,true
none,product page,8.890,0.812,true
none,product page,8.900,0.861,true
none,product page,8.910,1.925,true
none,product page,8.920,0.984,true
none,product page,8.930,0.060,true
none,product page,8.940,0.357,true
none,product page,8.950,0.166,true
none,order history,8.960,-0.043,true
none,product page,8.970,0.174,true
none,product page,8.980,0.353,true
none,product page,8.990,0.527,true
none,product page,9.000,1.003,true
none,checkout,9.010,9.385,true
none,order history,9.020,0.299,true
none,product page,9.030,0.133,true
none,order history,9.040,-0.289,true
none,product page,9.050,0.252,true
none,product page,9.060,0.344,true
none,order history,9.070,-0.229,true
none,product page,9.080,0.470,true
none,product page,9.090,0.795,true
none,product page,9.100,0.897,true
none,product page,9.110,0.938,true
none,order history,9.120,1.588,true
none,product page,9.130,0.226,true
none,order history,9.140,-0.176,true
none,order history,9.150,-0.282,true
none,product page,9.160,0.379,true
none,product page,9.170,0.450,true
none,product page,9.180,0.548,true
none,product page,9.190,0.805,true
none,product page,9.200,0.882,true
none,product page,9.210,0.988,true
none,product page,9.220,1.128,true
none,product page,9.230,1.442,true
none,product page,9.240,0.443,true
none,product page,9.250,0.520,true
none,product page,9.260,0.671,true
none,order history,9.270,0.226,true
none,product page,9.280,0.732,true
none,product page,9.290,0.964,true
none,checkout,9.300,10.474,true
none,order history,9.310,-0.242,true
none,order history,9.320,-0.140,true
none,product page,9.330,0.600,true
none,order history,9.340,0.052,true
none,product page,9.350,0.750,true
none,product page,9.360,0.403,true
none,product page,9.370,0.808,true
none,product page,9.380,0.883,true
none,product page,9.390,0.952,true
none,product page,9.400,1.369,true
none,product page,9.410,0.430,true
none,product page,9.420,0.460,true
none,product page,9.430,0.759,true
none,checkout,9.440,18.317,true
none,order history,9.450,0.153,true
none,product page,9.460,0.932,true
none,checkout,9.470,9.460,true
none,product page,9.480,1.052,true
none,product page,9.490,0.120,true
none,product page,9.500,0.149,true
none,product page,9.510,0.590,true
none,product page,9.520,0.519,true
none,product page,9.530,0.656,true
none,order history,9.540,0.284,true
none,product page,9.550,0.852,true
none,product page,9.560,0.969,true
none,product page,9.570,0.543,true
none,product page,9.580,0.148,true
none,order history,9.590,-0.124,true
none,product page,9.600,1.328,true
none,checkout,9.610,7.925,true
none,product page,9.620,0.100,true
none,product page,9.630,0.843,true
none,product page,9.640,0.913,true
none,order history,9.650,0.289,true
none,product page,9.660,2.089,true
none,product page,9.670,-0.176,true
none,order history,9.680,-0.401,true
none,order history,9.690,-0.347,true
none,product page,9.700,0.213,true
none,product page,9.710,-0.841,true
none,order history,9.720,-0.044,true
none,product page,9.730,0.576,true
none,product page,9.740,0.460,true
none,product page,9.750,0.743,true
none,product page,9.760,1.123,true
none,product page,9.770,1.207,true
none,product page,9.780,0.264,true
none,product page,9.790,0.158,true
none,product page,9.800,0.404,true
none,product page,9.810,0.021,true
none,product page,9.820,0.636,true
none,checkout,9.830,8.849,true
none,order history,9.840,0.385,true
none,product page,9.850,0.785,true
none,product page,9.860,1.914,true
none,product page,9.870,1.187,true
none,product page,9.880,-0.029,true
none,product page,9.890,-0.699,true
none,checkout,9.900,9.079,true
none,product page,9.910,0.282,true
none,product page,9.920,0.840,true
none,product page,9.930,0.427,true
none,product page,9.940,0.941,true
none,order history,9.950,0.498,true
none,product page,9.960,0.027,true
none,order history,9.970,-0.313,true
none,product page,9.980,-0.186,true
none,order history,9.990,-1.256,true
none,product page,10.000,0.728,true
none,product page,10.010,0.946,true
none,order history,10.020,0.146,true
none,product page,10.030,2.113,true
none,product page,10.040,1.082,true
none,product page,10.050,0.196,true
none,product page,10.060,0.264,true
none,product page,10.070,0.031,true
none,product page,10.080,0.638,true
none,product page,10.090,0.855,true
none,order history,10.100,0.194,true
none,product page,10.110,0.986,true
none,product page,10.120,2.103,true
none,product page,10.130,-0.203,true
none,checkout,10.140,17.588,true
none,checkout,10.150,20.997,true
none,order history,10.160,-0.320,true
none,product page,10.170,0.452,true
none,product page,10.180,0.567,true
none,product page,10.190,0.890,true
none,product page,10.200,1.017,true
none,product page,10.210,1.857,true
none,product page,10.220,0.646,true
none,product page,10.230,0.211,true
none,product page,10.240,1.360,true
none,product page,10.250,0.472,true
none,product page,10.260,0.335,true
none,product page,10.270,0.538,true
none,order history,10.280,0.180,true
none,product page,10.290,0.752,true
none,product page,10.300,1.133,true
none,product page,10.310,1.281,true
none,product page,10.320,1.327,true
none,product page,10.330,0.319,true
